content,date,dislikes,likes,press,title,userName
남자라면 적어도 띠동갑 연하정도는 만나줘야제 엣헴,2020-01-02T04:55:01+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",hubb****
모모는 철부지,2020-01-02T07:48:49+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",ntpe****
아니 근데 모모가 정신이 나갔다 어디 김희철 같은 수퍼스타를 감히 들먹여!! 이게 괜찮단 말이야?!! 그나저나 아이오아이는 앨범 나오나요?? 부탁 드립니다. ㅎ,2020-01-02T07:48:22+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",wino****
와 보급관님 동갑ㅠ,2020-01-02T07:45:23+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",dkrp****
희철이 이거도둑놈이네ㅋㅋ 부럽다 새캬~ㅋㅋ,2020-01-02T07:44:36+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",rok8****
얼마가겠니     게이  희철,2020-01-02T07:42:09+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",beeu****
앙대~ ㅠㅠ,2020-01-02T07:39:35+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",pyh6****
희철이는 전생에 나라를 구했나 아.... 희철이 부러운 적이 없었지만 광렬하게 부럽다.,2020-01-02T07:38:26+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",ryuj****
헐 진정성공한 성덕이여!,2020-01-02T07:38:07+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",angh****
부럽다,2020-01-02T07:36:42+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",mjw4****
결벽증  어떻게 감당하려나?,2020-01-02T07:34:46+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",jina****
대깨문 반일충들 노재팬해야되는데 혼란스럽겠다,2020-01-02T02:10:38+0000,3,3,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",qazw****
둘이 너~~무   안어울린다.,2020-01-02T07:42:29+0000,2,2,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",jhki****
성인남여가 12살이든20살이든 썸타다가 만나는건 좋다 돈주고 외국서 사오는건 못하게 법으로막아라 진짜옆에서도 보기싫다 60대가 딸같은여자랑 5.6세자식과 그것도 12시넘은시간에 술집드나들고 애가뭘보고 배울지,2020-01-02T07:24:25+0000,2,2,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",aimd****
한년 김치들보단 스시녀가 좋지,2020-01-02T06:32:25+0000,2,2,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",dudz****
그짓말안하고 일본가면 모모같이생긴애들 한 5000명 돌아다니는데 굳이 우주대스타가..,2020-01-02T04:51:40+0000,2,2,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",dlat****
